MOVIE_ID,NAME,GENRES,STORYLINE,TAGS
26260821,狼人,恐怖,作为大银幕上经典的怪物形象，“狼人”历史悠久，早在1941年就曾被拍成电影，之后陆续出现在《弗兰肯斯坦／科学怪人》、《吸血鬼德古拉》等系列影片中。2010年，环球公司翻拍了《狼人》，由本尼西奥·德托罗（Benicio del Toro）主演，不过那部影片反响平平。,黑暗宇宙/狼人/惊悚/美国/电影/恐怖/2010s/未上映
33218380,江山故人,爱情/奇幻/古装,,
30383594,离婚惊情,惊悚,鲁伯特·弗兰德将主演威廉·布伦特·贝尔([灵偶契约])执导新片[离婚惊情](Separation)。影片剧情细节暂未公开，但据说这是一部当代超自然惊悚片，讲述了离婚的可怕后果。该片借鉴了[克莱默夫妇]、[第六感]、[妈妈]，将于下月在纽约开拍。,惊悚/鲁伯特·弗兰德/超自然/美国电影/恐怖/RupertFriend
25728006,速度与激情9,动作/惊悚/犯罪/冒险,曾主演过《速度与激情3：东京漂移》的男星卢卡斯·布莱克宣布将加盟《速度与激情7》，据悉，他不仅将加盟第七部，而且已经确定要参演第八部和第九部。这似乎证实了之前媒体的猜测：《速度与激情》的7-9将成为一部新的系列三部曲。,速度与激情/动作/飙车/飙车的视觉艺术/待看续集·未上映/美国/美国电影/电影
27200014,蜂鸟蝾螈,科幻/惊悚,Netflix接近拿下Jeff VanderMeer(《遗落的南境》三部曲)所著新书《蜂鸟蝾螈》(Hummingbird Salamander)的电影改编权，计划让Sugar23公司负责制片。,
30355043,阿肯色,犯罪,利亚姆·海姆斯沃斯、文斯·沃恩将主演克拉克·杜克导演处女作[阿肯色]。本片讲述迪克西黑手党中两名低级毒贩(海姆斯沃斯、杜克饰)本按照阿肯色州毒枭(沃恩饰)的命令生活，但一笔交易出了可怕的差错，随之而来的是致命的后果。该片将于本周开拍。,美国电影/约翰·马尔科维奇/犯罪/文斯·沃恩/惊悚/利亚姆·海姆斯沃斯
30446493,爱情人偶,剧情/爱情,影片改编自导演的同名小说，讲述的是制作充气娃娃的职人哲雄与其妻子园子的爱情故事：哲雄对园子一见钟情而结婚，他隐瞒着自己的真实工作普通过活，但却因过度热衷充气娃娃的制作而令夫妻关系产生危机。在这样的情况下，园子向哲雄坦白了心中怀揣着的秘密……,苍井优/日本/高桥一生/日本电影/高橋一生/蒼井優/2019/爱情
30444960,信条,剧情/动作/惊悚,克里斯托弗·诺兰下部作品确认将于2020年7月17日在北美公映。包括标题名、情节概述、演员阵容在内的任何细节都没有透露，只是被称为会是一部重磅电影（event film），同时会采用IMAX技术进行拍摄。,克里斯托弗·诺兰/克里斯托弗诺兰/想拍烂片但实力不允许/信诺兰得永生/不知道是啥我也要看/2020/拿个小金人吧/ChristopherNolan
26726250,僚机,喜剧/歌舞,在《情圣囧色夫》时隔4年后，约瑟夫·高登-莱维特有望重执导筒，操刀一部环球影业出品的R级音乐喜剧，并与查宁·塔图姆共同担纲主演。这部影片暂定名为《僚机》（Wingmen），主角是两名飞行员。,Channing·Tatum/美国电影/高登/飞行员/美国/osephGordon-Levitt/ChanningTatum
27031463,再见怪兽,动画,《再见怪兽》讲述在中国上古神兽世界，昆仑仙山医馆的守护神兽“白泽”因一个人类问题男孩的闯入，被打乱了原本浪荡不羁的生活，与男孩共同踏上了一场奇幻的心灵治愈之旅。,国产动画/动画/神话/奇幻/国产/中国/动画电影/中国大陆
26990214,进击的巨人,动作/惊悚/奇幻/冒险,好莱坞要拍摄真人版《进击的巨人》的消息已经传出很久，如今终于有了实质性的进展。根据国外媒体报道，本周一华纳公司已经与讲谈社达成合作，确认《小丑回魂》导演安德斯·穆斯切蒂将执导真人版《进击的巨人》！,进击的巨人/漫画改编/日本/美国/电影/2020年/科幻/待看
27200839,分身人,动作/科幻/冒险,据外媒报道，詹姆斯·弗兰科将加盟X战警电影宇宙，饰演分身人(Multiple Man)。福斯正在制作分身人单行电影，将由西蒙·金伯格执导，詹姆斯·弗兰科同时也会担任这部影片的制片。截至目前，已经在计划之内的X战警系列影片包括《X战警:黑凤凰》《X战警:新变种人》《牌皇》。,Marvel/2020/美国/漫威/James·Franco/美漫宇宙/美国电影/电影
27200859,来自远方,歌舞,托尼奖获奖百老汇音乐剧《来自远方》(Come from Away)将被改编成电影，The Mark Gordon Company投资制片，原作者、词曲家Irene Sankoff和David Hein将编写剧本，剧版导演克里斯托弗·阿什利也确定执导影片。设定在9·11事件之后，38架飞机意外迫降加拿大纽芬兰与拉布拉多省的小镇Gander，7000名旅客滞留。在被迫停飞的处境下，小镇的居民热情地欢迎并接纳了所有旅客，他们的慷慨善良与恐怖袭击形成了鲜明的对比。文化相互碰撞，人们情绪高涨，不安感转变为信任，音乐响彻深夜，感激最终形成了长久的友谊。,音乐剧/真实故事/改编/托尼奖/911/歌舞/美国/电影
33408066,游走的欲望,剧情/爱情/悬疑,,
26989740,生死无门,剧情,根据真实事件改编，女主角李阿兰被迫拿起法律武器，想让自家三姐妹过上正常人生活的故事。李阿兰的父亲（老李）因为超生被免了村干部公职而变得暴躁，经常家暴导致母亲患上精神病，后被患有精神病的母亲打死。几年后，代养她的伯父以童养媳的方式将其“嫁人”。12岁“结婚”，14岁生女，四次逃婚后才逃离魔窟。当她费尽周折与丈夫离婚，准备向伤害过她的人讨公道时，在几经周折，束手无策的情况下一下把她的维权努力推向了绝境。,大陆/中国/马泮艳/文艺影片/文艺/国产电影
33412122,终极解密,动作/犯罪,,
33412140,阿尔法密令,科幻/惊悚/犯罪,,
26905569,移动心迷宫,悬疑/惊悚/恐怖,三个青年，一次意外，犯下弥天大错。一番心理斗争，几人选择分头逃逸，希望可以侥幸躲避惩罚。安然误进了一家酒店。酒店中隐藏着神秘而恐怖的面具人，随时准备伏击安然。而更另安然想不到的是，当面具人摘下面具的那一刻，安然惊奇地发现面具后的那个人竟然和自己长得一模一样……,悬疑/精彩/恐怖
26581125,赤道2,剧情/动作,《赤道2》延续的依旧是《赤道》中的阵容，在片中张震饰演的是一位代号为“赤道”的国际通缉犯，他盗走了韩国核武器的手提箱，因此整个亚洲都面临着被核武器轰炸的危险。为了社会的稳定和国家安全，中韩两国的安全专家齐聚，和犯罪分子展开了一轮轮的智商角力。,张学友/香港电影/犯罪/香港/续集/剧情/电影/警匪
